plate,numinSet,sample,pop,individual,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,run.date,SampleWeight,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
NA,138,AO-F-8-6,8,6,154,1762,6,6,NA,NA,154,23:46:35 Wed 04-May-16,126,20.1149957925,10.8033882802,1199.0391233302,33.1450389753,2294.5793751819,737.6932010386,23197.4070873993,2414.5668667937,58.1959316185,22.3398585978,0.0566850524,0.4644734337,5.909465421,23.1890439344,0.0033528995,0.0179894853,12.4295459127,16.0463785773,0.3814859107,0.2169500752
NA,110,AO-F-8-7,8,7,123,1731,6,6,NA,NA,123,21:50:13 Wed 04-May-16,100.7,37.2756850276,6.5215096091,1194.5814254067,22.0222030079,3173.8391075136,663.5838999432,22238.2270704088,1376.5266329629,44.7465935454,20.8549658727,0.0447542958,0.5367776586,5.6565478048,30.2042734717,0.0037136762,-0.1145544046,11.8363646783,7.6028506995,0.287679668,0.0587518039
NA,112,AO-F-8-8,8,8,125,1733,6,6,NA,NA,125,21:57:43 Wed 04-May-16,154,47.2352028041,27.5042840141,1580.1398426449,76.3546113658,4371.4641343677,994.6423622107,33403.469839746,1961.1860857444,70.449355236,21.2944041491,0.0558875252,1.5725494859,9.3410977577,53.7732353562,0.004790207,0.0578220259,20.7334317167,15.8729859267,0.2607538765,0.0366606289
NA,120,AO-F-8-9,8,9,134,1742,6,6,NA,NA,134,22:31:30 Wed 04-May-16,95.6,37.2552141259,21.2429334395,1493.028740204,119.1529021682,1931.6476655604,27.1836217407,15810.3988543582,2672.9457571327,100.2100496581,15.6330222834,0.1199709922,0.5486215906,5.0934742442,21.8901726695,0.0069045669,-0.0196040771,6.5326194241,17.9943115441,0.3336883761,0.0217067183
NA,128,AO-F-8-10,8,10,139,1747,6,6,NA,NA,139,22:50:15 Wed 04-May-16,138.5,32.489166843,19.9297593578,1240.3788742258,70.7505771372,2872.9077191976,729.2432258197,19832.9418562202,1963.6224886029,71.812247252,18.9470772485,0.0969177334,0.5660944687,5.937894129,25.1050384133,0.011648,0.0717666586,7.1719975268,14.4810883766,0.3888110317,0.0464699039
NA,134,AO-F-8-11,8,11,149,1757,6,6,NA,NA,149,23:27:47 Wed 04-May-16,105.3,50.261674267,17.4053274369,829.7188034435,35.2220497549,2399.2985441216,412.287097083,24426.8751298746,1063.7214309836,52.1893513881,11.3599590126,0.0737335778,0.5975559678,5.3968649882,229.4010690921,0.0049239168,-0.0324822119,13.2296250704,7.4380235201,0.2904801718,0.0492590768
NA,108,AO-F-8-12,8,12,108,1716,6,6,NA,NA,108,20:53:51 Wed 04-May-16,194.1,21.4251063451,35.8091478462,1255.8430130763,106.7007203259,1708.2553252765,627.9588328129,15990.3883932683,2574.2162422898,77.604607695,25.3446401867,0.0896720369,0.2719592778,2.6924306033,31.0458291265,0.0162830524,0.3489507625,8.3754819413,21.0745604094,0.2459321807,0.0146174025
NA,115,AO-F-8-13,8,13,128,1736,6,6,NA,NA,128,22:08:58 Wed 04-May-16,102.1,29.6977087314,17.4988553796,945.8154707096,29.4261681867,2289.7088960882,469.2648476064,24169.6198413277,960.0290883936,43.240640201,11.7375803912,0.0249213579,0.4196887855,4.1748585574,30.0208079083,0.0021837496,0.0277323496,13.0196519241,5.9630965709,0.1922031278,0.0191090399
NA,117,AO-F-8-14,8,14,130,1738,6,6,NA,NA,130,22:16:28 Wed 04-May-16,104.4,23.6371577875,13.6944113376,834.9718571859,22.0555789376,2709.9577510027,98.4341049557,21010.2456223478,637.7346346549,33.5492891987,11.2560587329,0.0390980288,0.4894747455,3.0579699057,23.3190798043,0.0012759813,-0.2308611469,11.1894516057,4.8968476516,0.0826984147,0.0100706319
NA,121,AO-F-8-15,8,15,147,1755,6,6,NA,NA,147,23:20:17 Wed 04-May-16,79,32.7051930004,37.3159056876,850.5134911402,52.7558326139,2004.6176846936,495.7011228978,14117.2450657842,1246.0691336669,85.4499494003,9.5395888462,0.0586116704,1.3702251471,10.7592150687,40.3476153038,0.0093548618,0.2719895448,10.1905676671,7.4652777479,0.1860583713,0.0182348837
