plate,numinSet,sample,sampleid,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,run.date,SampleWeight,B11,Na23,Mg26,Al27,P31,S34,K39,Ca44,Fe54,Mn55,Co59,Ni60,Cu63,Zn66,As75,Se78,Rb85,Sr88,Mo98,Cd111
NA,21,AO-1-224,224,24,1956,7,7,NA,NA,24,17:44:59 Thu 05-May-16,101.1,11.2296738306,351.7037070507,2274.0046159112,63.8511496486,944.8525684956,1214.5735108644,31852.234294861,6549.2446036678,129.8417377079,58.4684882741,0.0921424575,0.5364472558,7.9297190273,19.4433518542,0.2880382025,0.3568094159,27.6682798039,54.8923621579,4.5450747287,0.1540643196
NA,15,AO-1-226,226,17,1949,7,7,NA,NA,17,17:18:42 Thu 05-May-16,102.9,7.3139573719,198.9335415012,1482.0246690634,36.3213087059,523.1945381771,653.275646361,31855.1306754737,5219.1370383794,75.3253903821,49.5788378532,0.0514231094,0.2002701291,4.5571014462,10.8366368865,0.0820805344,0.1188828091,18.4476639471,44.4740598787,5.0178679159,0.4894930043
NA,11,AO-1-227,227,3,1935,7,7,NA,NA,3,16:26:10 Thu 05-May-16,104.2,10.9289314926,380.9747858613,797.092464776,32.1462973896,677.1582603698,933.5437523729,34596.8461943478,3248.1992255099,75.7467114614,75.2184540901,0.0500989698,0.202769823,5.1420763322,12.2465705927,0.1239392924,0.4230839142,36.1621131084,28.4181161156,4.2453917015,0.0917371358
NA,18,AO-1-228,228,20,1952,7,7,NA,NA,20,17:29:57 Thu 05-May-16,113,9.392169629,427.2381807634,1531.913507076,110.8030288719,992.0949810848,1012.902366314,21510.5134494225,6722.4520378183,183.1867008512,130.1470009992,0.1621522369,0.4272606053,8.0129071549,19.3304213268,0.3300973829,0.3171296312,19.7222940405,46.2395290242,4.8990494891,0.0789211347
NA,1,AO-1-229,229,14,1946,7,7,NA,NA,14,17:07:27 Thu 05-May-16,116.8,17.6238782638,322.6597383813,2181.4596175467,37.445826053,823.8029058351,1199.4065818335,36481.3162026885,6773.3120343406,107.7725845566,106.5615044294,0.1014570701,0.2004579189,8.1026194986,16.1101580564,0.1384968928,0.2282236381,12.4433144772,42.2701810061,13.6829131675,0.7628740897
NA,9,AO-1-230,230,5,1937,7,7,NA,NA,5,16:33:40 Thu 05-May-16,113.2,25.0577186812,293.7840476119,4358.029727504,51.0207488761,669.2140451388,1037.9545941723,38270.7876172268,16003.2811367403,103.8154385287,107.9650061065,0.1417645864,0.3609132042,7.794507899,11.3576187484,0.1821914713,0.2651566424,15.512826948,137.3226163734,11.1142692512,0.2448752089
NA,13,AO-1-231,231,15,1947,7,7,NA,NA,15,17:11:12 Thu 05-May-16,106.6,13.0165717682,277.8671446687,2486.0066308202,63.5034528248,1371.6023372738,1332.6103741672,35541.2053235564,7351.2509925406,146.5848834668,76.3171429871,0.0874869167,0.2839846695,10.8955270851,18.4322523314,0.1719659338,0.2728183722,18.3251724509,54.1237151118,5.8255160519,0.0948774875
NA,59,AO-1-232,232,56,1988,7,7,NA,NA,56,19:45:05 Thu 05-May-16,114.9,9.2132199535,397.1437780756,2709.1670691044,40.2603768508,1163.3104511662,1160.3895557636,29902.219127207,7595.8485054956,96.9482939365,61.9349070855,0.0962989318,0.1907674867,7.251350285,9.8426051849,0.1780893749,0.2550548425,15.5524309727,55.869308155,5.5571291928,0.2628328381
NA,54,AO-1-233,233,62,1994,7,7,NA,NA,62,20:07:37 Thu 05-May-16,108.4,15.6046329256,370.1654443479,2682.0317781585,51.6592536041,699.5758146731,1065.0048053943,45737.1867404129,9973.2368716807,211.3759142562,99.0373349231,0.1396559536,0.7190877682,8.0424042361,13.3332467954,0.2920830709,0.1565773574,20.4720760726,75.2407616861,5.9807377145,0.3174061166
NA,105,AO-1-234,234,112,2044,7,7,NA,NA,112,23:15:21 Thu 05-May-16,100.1,11.2308365736,995.5874929519,1512.4285835258,100.0158108212,839.4309296898,923.1528942246,27958.2718067158,5725.6014817348,181.32563106,94.5837047702,0.1274198633,0.2665727118,10.0193924156,136.3982055352,0.1676444926,0.4352824341,17.3904563935,33.7299896788,7.6204950048,0.276218897
NA,139,AO-1-235,235,155,2087,7,7,NA,NA,155,01:56:50 Fri 06-May-16,101.3,8.8805597882,273.0756149635,2480.8589847747,19.8169705778,419.8779163749,717.1629908767,37921.082931916,8802.4560609371,70.6748217674,86.3872768716,0.0639007633,0.4443028409,13.3662080187,13.0842170308,0.0947254259,0.4121139516,25.5503718857,73.2504252986,6.0281218689,0.1935417244
NA,124,AO-1-236,236,144,2076,7,7,NA,NA,144,01:15:31 Fri 06-May-16,108.5,31.8537109404,185.898338644,2585.8113269978,151.0080027531,853.6279254046,881.4648379485,20418.9098524638,15218.1317127507,254.1503767463,356.2835238337,0.2071290265,0.6728562077,3.7350229238,12.5719913061,0.2678927521,0.1317988154,13.5297985829,112.4855670498,8.0534922636,0.0675287491
NA,56,AO-1-237,237,59,1991,7,7,NA,NA,59,19:56:20 Thu 05-May-16,118.9,7.6913043128,349.3749373956,1002.8662794894,47.8069727428,615.6914442215,615.3598876248,33821.8481407099,5473.4481447779,97.9467595148,40.9667910229,0.0666283642,0.3029097194,7.3273358622,10.9488531566,0.1558833965,0.2217083621,19.6727273041,44.6988938186,7.7413544156,0.2800174205
NA,53,AO-1-238,238,63,1995,7,7,NA,NA,63,20:11:22 Thu 05-May-16,117.3,5.6203408421,92.5012968079,795.7774096571,18.4151110385,668.6697118147,621.2726845513,34600.449624067,2950.2396787068,46.00281171,33.1339314256,0.0352632695,0.087912936,3.3912886017,7.3905062805,0.0848127726,0.0965347833,22.1746583899,26.3161505392,2.7777782786,0.0317238602
