germday,harvestage,biomass,shoot.root,shoot,root,hairs,final.height,final.stem,final.lvs,avggerm,seeds.planted,totgerms
2,50,3.18,1.2083333333,1.74,1.44,0,43.1,4.93,7,3,3,3
2,50,3.17,1.536,1.92,1.25,12,42.4,6.46,7,2,3,3
2,50,3.23,1.5634920635,1.97,1.26,3,47.3,6.36,7,2.3333333333,3,3
43,58,2.66,0.8732394366,1.24,1.42,28,16.5,4.1,6,43,3,1
2,50,3.6,1.0111731844,1.81,1.79,0,43.2,5.01,7,2,3,3
4,50,3.76,0.9894179894,1.87,1.89,37,28.1,6.48,6,5.5,3,2
4,50,4.52,0.9824561404,2.24,2.28,0,38.4,5.85,6,5,3,2
2,50,3.02,1.2205882353,1.66,1.36,5,34.9,7.58,7,4,3,2
2,50,3.76,0.8894472362,1.77,1.99,0,33.8,7,7,10.5,2,2
3,50,2.88,1.0425531915,1.47,1.41,0,35.9,4.27,6,3,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
3,50,3.1,1.1088435374,1.63,1.47,10,36.5,4.67,7,3.6666666667,3,3
2,50,3.34,1.6935483871,2.1,1.24,9,45.9,4.2,6,5.6666666667,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
2,50,3.88,1.4871794872,2.32,1.56,5,44.2,6.27,7,3.3333333333,3,3
2,50,2.46,1.4848484848,1.47,0.99,6,33.9,5.32,6,2.3333333333,3,3
2,50,2.53,1.3,1.43,1.1,0,35.2,4.02,6,2,3,1
3,50,0.7,2.0434782609,0.47,0.23,4,27.6,2.39,6,3,3,3
3,50,0.05,0.6666666667,0.02,0.03,NA,NA,NA,NA,9.3333333333,3,3
2,50,2.48,1.1565217391,1.33,1.15,0,40.2,3.23,6,2,3,3
2,50,3.08,1.5454545455,1.87,1.21,0,47.7,5.95,6,2.3333333333,3,3
2,50,3.66,1.4563758389,2.17,1.49,9,45.9,5.44,6,9,3,2
2,50,3.16,1.46875,1.88,1.28,2,37.7,6.62,6,4,5,5
2,50,3.91,1.3696969697,2.26,1.65,0,50.3,4.75,6,3.3333333333,3,3
2,50,2.16,1.1818181818,1.17,0.99,0,47,3.75,7,2.3333333333,3,3
2,50,4.1,1.5949367089,2.52,1.58,0,37.8,5.15,7,3.3333333333,3,3
10,51,4.56,1.1408450704,2.43,2.13,0,31.2,8.59,6,13.6666666667,3,3
2,50,2.72,1.1417322835,1.45,1.27,0,33.9,6.57,6,2,2,2
5,50,3.68,1.021978022,1.86,1.82,4,30.8,6.58,6,5,3,1
2,50,3.97,1.2816091954,2.23,1.74,10,28.4,7.4,8,2.6666666667,3,3
2,50,3.93,1.0257731959,1.99,1.94,6,29.2,7.88,6,5.6666666667,3,3
5,50,4.96,2.8153846154,3.66,1.3,21,54.5,6.65,6,5,3,1
2,50,3.49,1.2662337662,1.95,1.54,5,30.2,6.87,6,2,3,3
2,50,2.26,1.306122449,1.28,0.98,0,48.6,3.18,6,2.3333333333,3,3
25,52,2.36,1.1454545455,1.26,1.1,0,19,5.2,6,25,3,2
2,50,3.55,1.6102941176,2.19,1.36,8,41.3,6.76,6,9,3,3
7,51,1.96,1.085106383,1.02,0.94,0,29.7,2.7,6,12.3333333333,3,3
2,50,2.49,1.8620689655,1.62,0.87,6,56.6,3.41,6,2.6666666667,3,3
3,50,4.4,0.9909502262,2.19,2.21,0,32.5,6.92,6,3,3,2
2,50,2.68,1.5046728972,1.61,1.07,0,39.5,3.56,6,2.6666666667,3,3
3,50,3.92,0.9698492462,1.93,1.99,0,28.5,7.37,7,3.6666666667,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
6,50,4.65,1.2682926829,2.6,2.05,1,26.6,7.36,6,9,3,2
11,50,4.33,1.1330049261,2.3,2.03,0,31,8.7,7,12,2,2
2,50,2.5,1.5773195876,1.53,0.97,10,49.4,4.68,7,2.6666666667,3,3
3,50,3.43,1.0416666667,1.75,1.68,0,41.8,5.45,7,3.6666666667,3,3
2,50,3.4,1.0987654321,1.78,1.62,0,36.7,6.34,6,2.6666666667,3,3
14,51,1.78,1.0459770115,0.91,0.87,0,20.8,7.1,5,14,3,1
3,50,3.43,1.0787878788,1.78,1.65,0,37.1,5.59,6,5,3,3
2,50,2.13,2.2272727273,1.47,0.66,7,49,4.29,6,2.6666666667,3,3
2,50,3.31,0.9244186047,1.59,1.72,0,40.9,5.49,6,2.5,3,2
2,50,3.31,1.3985507246,1.93,1.38,8,31.8,7.53,6,2.6666666667,3,3
2,50,3.72,1.2682926829,2.08,1.64,5,28.3,8.23,7,10,3,3
