Number....Ladpt...1.,Plant,Mom,soil.abv,soil.full,soil.combo,SA,SAN
AMO-1-254,M,13,TX,TX,TX,A,A
AMO-1-255,TX,33,N,N,N,A,NA
AMO-1-256,MT,44,H,MT,H,S,S
AMO-1-257,FP,75,N,N,N,A,NA
AMO-1-258,FP,82,TP,TP,TP,A,A
AMO-1-259,MT,37,TC,TC,TC,A,A
AMO-1-260,MT,46,H,MT,H,S,S
AMO-1-261,FP,81,TC,TC,TC,A,A
AMO-1-262,CU,116,H,CU,H,S,S
AMO-1-263,M,22,H,M,H,S,S
AMO-1-264,MC,65,N,N,N,A,NA
AMO-1-265,M,19,TC,TC,TC,A,A
AMO-1-266,TP,8,TX,TX,TX,A,A
AMO-1-267,CU,113,M,M,M,A,A
AMO-1-268,FP,84,TX,TX,TX,A,A
AMO-1-269,TP,8,TC,TC,TC,A,A
AMO-1-270,MT,45,H,MT,H,S,S
AMO-1-271,CU,113,TP,TP,TP,A,A
AMO-1-272,M,24,M,M,H,S,S
AMO-1-273,FP,82,TX,TX,TX,A,A
AMO-1-274,TP,2,H,TP,H,S,S
AMO-1-275,DA,58,TP,TP,TP,A,A
AMO-1-276,TP,2,N,N,N,A,NA
AMO-1-277,DA,52,TC,TC,TC,A,A
AMO-1-278,MC,62,N,N,N,A,NA
AMO-1-279,CL,96,TC,TC,TC,A,A
AMO-1-280,FP,81,TP,TP,TP,A,A
AMO-1-281,FP,77,H,FP,H,S,S
AMO-1-282,M,21,H,M,H,S,S
AMO-1-283,TX,35,TX,TX,H,S,S
AMO-1-284,TC,103,TX,TX,TX,A,A
AMO-1-285,TP,10,N,N,N,A,NA
AMO-1-286,MC,69,TP,TP,TP,A,A
AMO-1-287,MC,66,TC,TC,TC,A,A
AMO-1-288,TC,102,M,M,M,A,A
AMO-1-289,TC,107,TX,TX,TX,A,A
AMO-1-290,CU,111,TC,TC,TC,A,A
AMO-1-291,MC,67,M,M,M,A,A
AMO-1-292,MT,43,TX,TX,TX,A,A
AMO-1-293,CL,86,H,CL,H,S,S
AMO-1-294,M,17,TP,TP,TP,A,A
AMO-1-295,CL,92,N,N,N,A,NA
AMO-1-296,MT,41,N,N,N,A,NA
AMO-1-297,TC,98,H,TC,H,S,S
AMO-1-298,TX,33,H,TX,H,S,S
AMO-1-299,FP,74,N,N,N,A,NA
AMO-1-300,CU,117,TX,TX,TX,A,A
AMO-1-301,DA,56,N,N,N,A,NA
AMO-1-302,TP,9,TC,TC,TC,A,A
AMO-1-303,TC,102,TP,TP,TP,A,A
AMO-1-304,TX,25,TP,TP,TP,A,A
AMO-1-305,M,24,TX,TX,TX,A,A
AMO-1-306,DA,57,TX,TX,TX,A,A
AMO-1-307,CL,90,TX,TX,TX,A,A
AMO-1-308,MC,67,TX,TX,TX,A,A
AMO-1-309,MC,71,TC,TC,TC,A,A
AMO-1-310,MT,38,TC,TC,TC,A,A
AMO-1-311,M,24,H,M,H,S,S
AMO-1-312,CL,88,N,N,N,A,NA
AMO-1-313,CL,90,TP,TP,TP,A,A
AMO-1-314,TC,108,M,M,M,A,A
AMO-1-315,MT,38,N,N,N,A,NA
AMO-1-316,TC,106,M,M,M,A,A
AMO-1-317,TC,101,TP,TP,TP,A,A
AMO-1-318,FP,75,TC,TC,TC,A,A
AMO-1-319,TC,107,TP,TP,TP,A,A
AMO-1-320,M,24,N,N,N,A,NA
AMO-1-321,MC,68,N,N,N,A,NA
AMO-1-322,MC,64,H,MC,H,S,S
AMO-1-323,M,15,TX,TX,TX,A,A
AMO-1-324,DA,51,TP,TP,TP,A,A
AMO-1-325,CL,87,TP,TP,TP,A,A
AMO-1-326,M,20,H,M,H,S,S
AMO-1-327,TP,10,H,TP,H,S,S
AMO-1-328,DA,49,N,N,N,A,NA
AMO-1-329,DA,60,H,DA,H,S,S
AMO-1-330,TX,27,H,TX,H,S,S
AMO-1-331,CU,115,TP,TP,TP,A,A
AMO-1-332,CL,95,H,CL,H,S,S
AMO-1-333,TC,102,H,TC,H,S,S
AMO-1-334,M,16,H,M,H,S,S
AMO-1-335,CU,117,TP,TP,TP,A,A
AMO-1-336,TX,26,N,N,N,A,NA
AMO-1-337,TX,29,TC,TC,TC,A,A
AMO-1-338,CL,90,TC,TC,TC,A,A
AMO-1-339,CU,114,TP,TP,TP,A,A
AMO-1-340,TP,11,TX,TX,TX,A,A
AMO-1-341,TX,36,N,N,N,A,NA
AMO-1-342,DA,50,H,DA,H,S,S
AMO-1-343,TP,12,M,M,M,A,A
AMO-1-344,CL,89,N,N,N,A,NA
AMO-1-345,MT,38,M,M,M,A,A
AMO-1-346,CL,87,TX,TX,TX,A,A
AMO-1-347,M,16,N,N,N,A,NA
AMO-1-348,CU,115,N,N,N,A,NA
AMO-1-349,CU,118,TX,TX,TX,A,A
AMO-1-350,MC,61,TC,TC,TC,A,A
AMO-1-351,TX,26,TC,TC,TC,A,A
AMO-1-352,TP,4,H,TP,H,S,S
AMO-1-353,MC,68,TX,TX,TX,A,A
AMO-1-354,TP,5,TC,TC,TC,A,A
AMO-1-355,TP,3,M,M,M,A,A
AMO-1-356,TP,3,TX,TX,TX,A,A
AMO-1-357,FP,73,M,M,M,A,A
AMO-1-358,MC,63,TX,TX,TX,A,A
AMO-1-359,FP,75,H,FP,H,S,S
AMO-1-360,DA,49,H,DA,H,S,S
AMO-1-361,MT,44,TX,TX,TX,A,A
AMO-1-362,TP,1,M,M,M,A,A
AMO-1-363,TX,28,N,N,N,A,NA
AMO-1-364,TC,102,TC,TC,H,S,S
AMO-1-365,TX,27,N,N,N,A,NA
AMO-1-366,DA,50,TX,TX,TX,A,A
AMO-1-367,M,15,N,N,N,A,NA
AMO-1-368,TP,4,N,N,N,A,NA
AMO-1-369,M,21,TX,TX,TX,A,A
AMO-1-370,TC,108,TX,TX,TX,A,A
AMO-1-371,MT,41,TC,TC,TC,A,A
AMO-1-372,TC,98,TX,TX,TX,A,A
AMO-1-373,CU,117,H,CU,H,S,S
AMO-1-374,TX,35,M,M,M,A,A
AMO-1-375,TX,27,M,M,M,A,A
